beat,TRACTCE10,GEOID10
R1,009500,53033009500
R1,009300,53033009300
R1,010001,53033010001
R1,010002,53033010002
R1,009400,53033009400
R1,009100,53033009100
R2,010401,53033010401
R2,010402,53033010402
R2,010300,53033010300
R2,010100,53033010100
R2,009500,53033009500
R2,010001,53033010001
R2,010002,53033010002
R2,009400,53033009400
R3,010401,53033010401
R3,011800,53033011800
R3,024601,53033024601
R3,024500,53033024500
R3,011101,53033011101
R3,011102,53033011102
R3,010300,53033010300
R3,010200,53033010200
R3,010100,53033010100
R3,009500,53033009500
R3,010001,53033010001
U3,006300,53033006300
U3,004100,53033004100
U3,004200,53033004200
U3,004000,53033004000
U3,003900,53033003900
U3,002400,53033002400
U3,002200,53033002200
U3,000900,53033000900
U3,006200,53033006200
U3,005302,53033005302
U3,004302,53033004302
U3,004301,53033004301
U3,003800,53033003800
U3,002500,53033002500
U3,002100,53033002100
W1,990100,53033990100
W1,009702,53033009702
W1,009800,53033009800
W1,009701,53033009701
W1,009900,53033009900
W1,009600,53033009600
W1,009300,53033009300
S3,026300,53033026300
S3,026100,53033026100
S3,026001,53033026001
S3,011900,53033011900
S3,011700,53033011700
S3,011800,53033011800
U1,005302,53033005302
U1,005200,53033005200
U1,005301,53033005301
U1,004302,53033004302
U1,003600,53033003600
U1,004301,53033004301
U1,004500,53033004500
U1,004400,53033004400
U1,003800,53033003800
U1,002500,53033002500
U1,002600,53033002600
U1,002000,53033002000
U1,002100,53033002100
U2,006200,53033006200
U2,006100,53033006100
U2,005302,53033005302
U2,005200,53033005200
U2,005301,53033005301
U2,004302,53033004302
U2,004301,53033004301
U2,004500,53033004500
U2,004400,53033004400
W2,010701,53033010701
W2,010702,53033010702
W2,990100,53033990100
W2,010600,53033010600
W2,010500,53033010500
W2,009702,53033009702
W2,009800,53033009800
W2,009701,53033009701
W2,009900,53033009900
W2,010800,53033010800
W3,026700,53033026700
W3,012100,53033012100
W3,026600,53033026600
W3,012000,53033012000
W3,011402,53033011402
W3,011600,53033011600
W3,011500,53033011500
W3,010701,53033010701
W3,010702,53033010702
W3,990100,53033990100
W3,010600,53033010600
K2,990100,53033990100
K2,009900,53033009900
K2,009300,53033009300
K2,009200,53033009200
K2,008100,53033008100
K2,009100,53033009100
K3,009300,53033009300
K3,009200,53033009200
K3,008500,53033008500
K3,008100,53033008100
K3,009400,53033009400
K3,009000,53033009000
K3,009100,53033009100
K3,008600,53033008600
G1,009200,53033009200
G1,008500,53033008500
G1,009000,53033009000
G1,009100,53033009100
G1,008600,53033008600
G3,009500,53033009500
G3,008900,53033008900
G3,007800,53033007800
G3,009300,53033009300
G3,009400,53033009400
G3,009000,53033009000
